ranking,name,age,weight,gender,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
,Niko Price,32,170,Male,72,7,5,,2,15,5,,2
,Ramazan Emeev,34,170,Male,70,5,2,,,20,5,,
,Song Kenan,31,170,Male,72,4,2,,,16,6,,
,David Zawada,31,170,Male,72,1,4,,,17,7,,
,Dwight Grant,37,170,Male,73,3,3,,,11,4,,
,Takashi Sato,31,170,Male,70,2,2,,,16,4,,
,Michel Pereira,28,170,Male,74,4,2,,,26,11,,2
,Sergey Khandozhko,29,170,Male,73,1,1,,,26,6,1,
,Miguel Baeza,29,170,Male,74,3,2,,,10,2,,
,Abubakar Nurmagomedov,32,170,Male,71,1,1,,,16,3,1,
,Khaos Williams,27,170,Male,72,4,1,,,13,2,,
,Daniel Rodriguez,34,170,Male,74,6,1,,,16,2,,
,Gabriel Green,28,170,Male,70,2,0,,,10,2,,
,Jason Witt,35,170,Male,70,2,2,,,19,7,,
,Mounir Lazzez,34,170,Male,70,1,1,,,10,2,,
,Niklas Stolze,28,170,Male,72,1,1,,,13,4,,
,Matthew Semelsberger,28,170,Male,73,3,1,,,9,3,,
,Impa Kasanganay,27,170,Male,71,2,2,,,9,2,,
,Jordan Williams,27,170,Male,72,0,3,,,9,6,,1
,Shavkat Rakhmonov,27,170,Male,73,2,0,,,14,0,,
,Ramiz Brahimaj,29,170,Male,70,1,1,,,9,3,,
,Sasha Palatnikov,32,170,Male,73,1,2,,,6,4,,
,Louis Cosce,26,170,Male,69,0,1,,,7,1,,
,Jared Gooden,27,170,Male,76,1,3,,,18,7,,
,Philip Rowe,31,170,Male,75,1,1,,,8,3,,
,Carlston Harris,34,170,Male,72,2,0,,,17,4,,
,Jeremiah Wells,35,170,Male,69,1,0,,,9,2,1,
,Preston Parsons,26,170,Male,71,0,1,,,9,3,,
,Orion Cosce,27,170,Male,71,0,1,,,7,1,,
,Martin Sano Jr.,30,170,Male,71,0,1,,,4,3,1,
,Benoit St.Denis,25,170,Male,71,0,1,,,8,1,,1
,Ian Garry,24,170,Male,75,1,0,,,8,0,,
,Clay Guida,39,155,Male,67,17,15,,,36,21,,
,Joe Lauzon,37,155,Male,70,15,12,,,28,15,,
,Jeremy Stephens,35,155,Male,68,15,18,,1,28,19,,1
,Jim Miller,38,155,Male,68,22,15,,1,33,16,,1
,Michael Johnson,35,155,Male,69,11,13,,,19,17,,
,John Makdessi,36,155,Male,68,11,7,,,18,7,,
,Bobby Green,35,155,Male,70,13,8,1,,28,12,1,
,Al Iaquinta,34,155,Male,67,9,6,,,14,7,1,
,Drew Dober,33,155,Male,68,9,7,,1,23,11,,1
,Vinc Pichel,38,155,Male,70,7,2,,,14,2,,
,Leonardo Santos,41,155,Male,73,7,1,1,,18,4,1,
,Alan Patrick,38,155,Male,71,5,3,,,15,3,,
,Sean Soriano,32,155,Male,69,0,4,,,14,7,,
,Renato Moicano,32,155,Male,71,7,4,,,15,4,1,
,Magomed Mustafaev,33,155,Male,69,3,2,,,14,3,,
,Scott Holtzman,38,155,Male,69,7,5,,,14,5,,
,Joaquim Silva,32,155,Male,68,4,3,,,11,3,,
,Chris Gruetzemacher,35,155,Male,68,3,3,,,15,4,,
,David Teymur,32,155,Male,69,5,1,,,8,2,,
,Damir Hadzovic,35,155,Male,71,4,4,,,14,6,,
,Ricky Glenn,32,155,Male,72,4,3,1,,22,6,2,
,Marc Diakiese,28,155,Male,70,5,5,,,14,5,,
,Claudio Puelles,25,155,Male,71,3,1,,,10,2,,
,Drakkar Klose,33,155,Male,68,5,2,,,11,2,1,
,Davi Ramos,35,155,Male,68,4,3,,,10,4,,
,Jared Gordon,33,155,Male,69,6,3,,,18,4,,
,Frank Camacho,32,155,Male,69,2,5,,,22,9,,
,Nasrat Haqparast,26,155,Male,70,5,3,,,13,4,,
,Matt Frevola,31,155,Male,69,2,3,1,,8,3,1,
,Alexander Hernandez,29,155,Male,69,5,3,,,13,4,,
,Christos Giagos,31,155,Male,70,5,5,,,19,9,,
,Luigi Vendramini,25,155,Male,68,1,4,,,9,4,,
,Devonte Smith,28,155,Male,68,3,2,,,11,3,,
,Thiago Moises,26,155,Male,69,4,4,,,15,6,,
,Jalin Turner,26,155,Male,75,4,2,,,11,5,,
,Damir Ismagulov,30,155,Male,70,4,0,,,20,1,,
,Grant Dawson,27,155,Male,70,5,0,1,,17,1,1,
,Alex Da Silva Coelho,25,155,Male,70,1,2,,,21,3,,
,Mike Davis,29,155,Male,72,2,1,,,9,2,,
,Austin Hubbard,29,155,Male,70,3,4,,,13,6,,
,Rodrigo Vargas,36,155,Male,67,1,2,,,11,4,,
,Fares Ziam,24,155,Male,72,2,1,,,12,3,,
,Mark Madsen,37,155,Male,70,3,0,,,11,0,,
,Jamie Mullarkey,27,155,Male,68,2,2,,,14,4,,
,Ottman Azaitar,31,155,Male,68,2,0,,,13,0,,
,Joe Solecki,28,155,Male,69,3,1,,,11,3,,
,Steve Garcia,29,155,Male,72,1,1,,,12,4,,
,Jai Herbert,33,155,Male,73,0,2,,,10,3,,
,Alexander Munoz,31,155,Male,69,0,2,,,6,2,,
,Mateusz Gamrot,30,155,Male,70,2,1,,,19,1,,
,Guram Kutateladze,29,155,Male,71,1,0,,,12,2,,
,Charlie Ontiveros,30,155,Male,74,0,2,,,11,8,,
,Jordan Leavitt,26,155,Male,71,1,1,,,8,1,,
,Mason Jones,26,155,Male,70,1,1,,,11,1,,
,Uros Medic,28,155,Male,73,1,1,,,7,1,,
,Rafa Garcia,27,155,Male,67,0,2,,,11,2,,
,Ignacio Bahamondes,24,155,Male,75,1,1,,,12,4,,
,Dakota Bush,27,155,Male,70,0,1,,,8,3,,
